57466,Onaka,South Dakota ,FAULK,46,049,SD 
57467,Orient,South Dakota ,HAND,46,059,SD 
57465,Northville,South Dakota ,SPINK,46,115,SD 
57460,Mansfield,South Dakota ,BROWN,46,013,SD 
57470,Rockham,South Dakota ,FAULK,46,049,SD 
57472,Selby,South Dakota ,WALWORTH,46,129,SD 
57477,Turton,South Dakota ,SPINK,46,115,SD 
57473,Seneca,South Dakota ,FAULK,46,049,SD 
57474,Stratford,South Dakota ,BROWN,46,013,SD 
57475,Tolstoy,South Dakota ,POTTER,46,107,SD 
57471,Roscoe,South Dakota ,EDMUNDS,46,045,SD 
57476,Tulare,South Dakota ,SPINK,46,115,SD 
57479,Warner,South Dakota ,BROWN,46,013,SD 
57481,Westport,South Dakota ,BROWN,46,013,SD 
57520,Agar,South Dakota ,SULLY,46,119,SD 
57522,Blunt,South Dakota ,HUGHES,46,065,SD 
57501,Pierre,South Dakota ,HUGHES,46,065,SD 
57528,Colome,South Dakota ,TRIPP,46,123,SD 
57523,Burke,South Dakota ,GREGORY,46,053,SD 
57521,Belvidere,South Dakota ,JACKSON,46,071,SD 
57529,Dallas,South Dakota ,GREGORY,46,053,SD 
57531,Draper,South Dakota ,JONES,46,075,SD 
57540,Holabird,South Dakota ,HYDE,46,069,SD 
57534,Hamill,South Dakota ,TRIPP,46,123,SD 
57537,Hayes,South Dakota ,STANLEY,46,117,SD 
57532,Fort Pierre,South Dakota ,STANLEY,46,117,SD 
57533,Gregory,South Dakota ,GREGORY,46,053,SD 
57538,Herrick,South Dakota ,GREGORY,46,053,SD 
57536,Harrold,South Dakota ,HUGHES,46,065,SD 
57541,Ideal,South Dakota ,TRIPP,46,123,SD 
57544,Kennebec,South Dakota ,LYMAN,46,085,SD 
57548,Lower Brule,South Dakota ,LYMAN,46,085,SD 
57551,Martin,South Dakota ,BENNETT,46,007,SD 
57543,Kadoka,South Dakota ,JACKSON,46,071,SD 
57547,Long Valley,South Dakota ,JACKSON,46,071,SD 
57553,Milesville,South Dakota ,HAAKON,46,055,SD 
57552,Midland,South Dakota ,HAAKON,46,055,SD 
57555,Mission,South Dakota ,TODD,46,121,SD 
57559,Murdo,South Dakota ,JONES,46,075,SD 
57562,Okaton,South Dakota ,JONES,46,075,SD 
57568,Presho,South Dakota ,LYMAN,46,085,SD 
57564,Onida,South Dakota ,SULLY,46,119,SD 
57563,Okreek,South Dakota ,TODD,46,121,SD 
57567,Philip,South Dakota ,HAAKON,46,055,SD 
57560,Norris,South Dakota ,MELLETTE,46,095,SD 
57566,Parmelee,South Dakota ,TODD,46,121,SD 
57569,Reliance,South Dakota ,LYMAN,46,085,SD 
57570,Rosebud,South Dakota ,TODD,46,121,SD 
57576,Vivian,South Dakota ,LYMAN,46,085,SD 
57571,Saint Charles,South Dakota ,GREGORY,46,053,SD 
57577,Wanblee,South Dakota ,JACKSON,46,071,SD 
57574,Tuthill,South Dakota ,BENNETT,46,007,SD 
57579,White River,South Dakota ,MELLETTE,46,095,SD 
57572,Saint Francis,South Dakota ,TODD,46,121,SD 
57580,Winner,South Dakota ,TRIPP,46,123,SD 
57584,Witten,South Dakota ,TRIPP,46,123,SD 
57601,Mobridge,South Dakota ,WALWORTH,46,129,SD 
57622,Cherry Creek,South Dakota ,ZIEBACH,46,137,SD 
57623,Dupree,South Dakota ,ZIEBACH,46,137,SD 
57620,Bison,South Dakota ,PERKINS,46,105,SD 
57621,Bullhead,South Dakota ,CORSON,46,031,SD 
57585,Wood,South Dakota ,MELLETTE,46,095,SD 
57625,Eagle Butte,South Dakota ,DEWEY,46,041,SD 
57626,Faith,South Dakota ,MEADE,46,093,SD 
57631,Glenham,South Dakota ,WALWORTH,46,129,SD 
57630,Glencross,South Dakota ,DEWEY,46,041,SD 
57634,Keldron,South Dakota ,CORSON,46,031,SD 
57639,Little Eagle,South Dakota ,CORSON,46,031,SD 
57632,Herreid,South Dakota ,CAMPBELL,46,021,SD 
57638,Lemmon,South Dakota ,PERKINS,46,105,SD 
57633,Isabel,South Dakota ,DEWEY,46,041,SD 
57636,Lantry,South Dakota ,DEWEY,46,041,SD 
57640,Lodgepole,South Dakota ,PERKINS,46,105,SD 
57641,Mc Intosh,South Dakota ,CORSON,46,031,SD 
57644,Meadow,South Dakota ,PERKINS,46,105,SD 
57642,Mc Laughlin,South Dakota ,CORSON,46,031,SD 
57648,Pollock,South Dakota ,CAMPBELL,46,021,SD 
57645,Morristown,South Dakota ,CORSON,46,031,SD 
57646,Mound City,South Dakota ,CAMPBELL,46,021,SD 
57649,Prairie City,South Dakota ,PERKINS,46,105,SD 
57650,Ralph,South Dakota ,HARDING,46,063,SD 
57651,Reva,South Dakota ,HARDING,46,063,SD 
57652,Ridgeview,South Dakota ,DEWEY,46,041,SD 
57657,Trail City,South Dakota ,CORSON,46,031,SD 
57659,Walker,South Dakota ,CORSON,46,031,SD 
57656,Timber Lake,South Dakota ,DEWEY,46,041,SD 
57658,Wakpala,South Dakota ,CORSON,46,031,SD 
57660,Watauga,South Dakota ,CORSON,46,031,SD 
57661,Whitehorse,South Dakota ,DEWEY,46,041,SD 
57701,Rapid City,South Dakota ,PENNINGTON,46,103,SD 
57702,Rapid City,South Dakota ,PENNINGTON,46,103,SD 
57706,Ellsworth AFB,South Dakota ,MEADE,46,093,SD 
57709,Rapid City,South Dakota ,PENNINGTON,46,103,SD 
57716,Batesland,South Dakota ,OGLALA LAKOTA,46,102,SD 
