55725,Crane Lake,Minnesota ,SAINT LOUIS,27,137,MN 
55723,Cook,Minnesota ,SAINT LOUIS,27,137,MN 
55722,Coleraine,Minnesota ,ITASCA,27,061,MN 
55730,Grand Rapids,Minnesota ,ITASCA,27,061,MN 
55726,Cromwell,Minnesota ,CARLTON,27,017,MN 
55741,Gilbert,Minnesota ,SAINT LOUIS,27,137,MN 
55732,Embarrass,Minnesota ,SAINT LOUIS,27,137,MN 
55731,Ely,Minnesota ,SAINT LOUIS,27,137,MN 
55735,Finlayson,Minnesota ,PINE,27,115,MN 
55733,Esko,Minnesota ,CARLTON,27,017,MN 
55738,Forbes,Minnesota ,SAINT LOUIS,27,137,MN 
55736,Floodwood,Minnesota ,SAINT LOUIS,27,137,MN 
55734,Eveleth,Minnesota ,SAINT LOUIS,27,137,MN 
55742,Goodland,Minnesota ,ITASCA,27,061,MN 
55746,Hibbing,Minnesota ,SAINT LOUIS,27,137,MN 
55750,Hoyt Lakes,Minnesota ,SAINT LOUIS,27,137,MN 
55751,Iron,Minnesota ,SAINT LOUIS,27,137,MN 
55744,Grand Rapids,Minnesota ,ITASCA,27,061,MN 
55745,Grand Rapids,Minnesota ,ITASCA,27,061,MN 
55749,Holyoke,Minnesota ,CARLTON,27,017,MN 
55748,Hill City,Minnesota ,AITKIN,27,001,MN 
55756,Kerrick,Minnesota ,PINE,27,115,MN 
55760,Mcgregor,Minnesota ,AITKIN,27,001,MN 
55758,Kinney,Minnesota ,SAINT LOUIS,27,137,MN 
55763,Makinen,Minnesota ,SAINT LOUIS,27,137,MN 
55753,Keewatin,Minnesota ,ITASCA,27,061,MN 
55752,Jacobson,Minnesota ,ITASCA,27,061,MN 
55757,Kettle River,Minnesota ,CARLTON,27,017,MN 
55764,Marble,Minnesota ,ITASCA,27,061,MN 
55765,Meadowlands,Minnesota ,SAINT LOUIS,27,137,MN 
55775,Pengilly,Minnesota ,ITASCA,27,061,MN 
55768,Mountain Iron,Minnesota ,SAINT LOUIS,27,137,MN 
55771,Orr,Minnesota ,SAINT LOUIS,27,137,MN 
55772,Nett Lake,Minnesota ,SAINT LOUIS,27,137,MN 
55769,Nashwauk,Minnesota ,ITASCA,27,061,MN 
55767,Moose Lake,Minnesota ,CARLTON,27,017,MN 
55766,Melrude,Minnesota ,SAINT LOUIS,27,137,MN 
55777,Virginia,Minnesota ,SAINT LOUIS,27,137,MN 
55782,Soudan,Minnesota ,SAINT LOUIS,27,137,MN 
55781,Side Lake,Minnesota ,SAINT LOUIS,27,137,MN 
55785,Swatara,Minnesota ,CASS,27,021,MN 
55783,Sturgeon Lake,Minnesota ,PINE,27,115,MN 
55779,Saginaw,Minnesota ,SAINT LOUIS,27,137,MN 
55780,Sawyer,Minnesota ,CARLTON,27,017,MN 
55784,Swan River,Minnesota ,ITASCA,27,061,MN 
55786,Taconite,Minnesota ,ITASCA,27,061,MN 
55793,Warba,Minnesota ,ITASCA,27,061,MN 
55790,Tower,Minnesota ,SAINT LOUIS,27,137,MN 
55792,Virginia,Minnesota ,SAINT LOUIS,27,137,MN 
55796,Winton,Minnesota ,SAINT LOUIS,27,137,MN 
55795,Willow River,Minnesota ,PINE,27,115,MN 
55787,Tamarack,Minnesota ,AITKIN,27,001,MN 
55791,Twig,Minnesota ,SAINT LOUIS,27,137,MN 
55797,Wrenshall,Minnesota ,CARLTON,27,017,MN 
55798,Wright,Minnesota ,CARLTON,27,017,MN 
55804,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55802,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55801,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55805,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55806,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55803,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55807,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55810,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55808,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55811,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55816,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55815,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55812,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55814,Duluth,Minnesota ,SAINT LOUIS,27,137,MN 
55901,Rochester,Minnesota ,OLMSTED,27,109,MN 
55902,Rochester,Minnesota ,OLMSTED,27,109,MN 
