39160,Sallis,Mississippi ,ATTALA,28,007,MS 
39163,Sharon,Mississippi ,MADISON,28,089,MS 
39165,Sibley,Mississippi ,ADAMS,28,001,MS 
39167,Star,Mississippi ,RANKIN,28,121,MS 
39162,Satartia,Mississippi ,YAZOO,28,163,MS 
39166,Silver City,Mississippi ,HUMPHREYS,28,053,MS 
39161,Sandhill,Mississippi ,RANKIN,28,121,MS 
39168,Taylorsville,Mississippi ,SMITH,28,129,MS 
39169,Tchula,Mississippi ,HOLMES,28,051,MS 
39170,Terry,Mississippi ,HINDS,28,049,MS 
39171,Thomastown,Mississippi ,LEAKE,28,079,MS 
39174,Tougaloo,Mississippi ,HINDS,28,049,MS 
39176,Vaiden,Mississippi ,CARROLL,28,015,MS 
39177,Valley Park,Mississippi ,ISSAQUENA,28,055,MS 
39173,Tinsley,Mississippi ,YAZOO,28,163,MS 
39175,Utica,Mississippi ,HINDS,28,049,MS 
39179,Vaughan,Mississippi ,YAZOO,28,163,MS 
39180,Vicksburg,Mississippi ,WARREN,28,149,MS 
39182,Vicksburg,Mississippi ,WARREN,28,149,MS 
39190,Washington,Mississippi ,ADAMS,28,001,MS 
39183,Vicksburg,Mississippi ,WARREN,28,149,MS 
39181,Vicksburg,Mississippi ,WARREN,28,149,MS 
39189,Walnut Grove,Mississippi ,LEAKE,28,079,MS 
39191,Wesson,Mississippi ,COPIAH,28,029,MS 
39192,West,Mississippi ,HOLMES,28,051,MS 
39193,Whitfield,Mississippi ,RANKIN,28,121,MS 
39203,Jackson,Mississippi ,HINDS,28,049,MS 
39194,Yazoo City,Mississippi ,YAZOO,28,163,MS 
39202,Jackson,Mississippi ,HINDS,28,049,MS 
39205,Jackson,Mississippi ,HINDS,28,049,MS 
39206,Jackson,Mississippi ,HINDS,28,049,MS 
39201,Jackson,Mississippi ,HINDS,28,049,MS 
39204,Jackson,Mississippi ,HINDS,28,049,MS 
39207,Jackson,Mississippi ,HINDS,28,049,MS 
39209,Jackson,Mississippi ,HINDS,28,049,MS 
39208,Pearl,Mississippi ,RANKIN,28,121,MS 
39213,Jackson,Mississippi ,HINDS,28,049,MS 
39210,Jackson,Mississippi ,HINDS,28,049,MS 
39211,Jackson,Mississippi ,HINDS,28,049,MS 
39215,Jackson,Mississippi ,HINDS,28,049,MS 
39212,Jackson,Mississippi ,HINDS,28,049,MS 
39216,Jackson,Mississippi ,HINDS,28,049,MS 
39217,Jackson,Mississippi ,HINDS,28,049,MS 
39225,Jackson,Mississippi ,HINDS,28,049,MS 
39218,Richland,Mississippi ,RANKIN,28,121,MS 
39232,Flowood,Mississippi ,RANKIN,28,121,MS 
39236,Jackson,Mississippi ,HINDS,28,049,MS 
39269,Jackson,Mississippi ,HINDS,28,049,MS 
39250,Jackson,Mississippi ,HINDS,28,049,MS 
39271,Jackson,Mississippi ,HINDS,28,049,MS 
39272,Byram,Mississippi ,HINDS,28,049,MS 
39282,Jackson,Mississippi ,HINDS,28,049,MS 
39284,Jackson,Mississippi ,HINDS,28,049,MS 
39283,Jackson,Mississippi ,HINDS,28,049,MS 
39288,Pearl,Mississippi ,RANKIN,28,121,MS 
39286,Jackson,Mississippi ,HINDS,28,049,MS 
39289,Jackson,Mississippi ,HINDS,28,049,MS 
39296,Jackson,Mississippi ,HINDS,28,049,MS 
39298,Jackson,Mississippi ,RANKIN,28,121,MS 
39302,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39303,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39305,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39301,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39304,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39307,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39309,Meridian,Mississippi ,LAUDERDALE,28,075,MS 
39320,Bailey,Mississippi ,LAUDERDALE,28,075,MS 
39323,Chunky,Mississippi ,NEWTON,28,101,MS 
39322,Buckatunna,Mississippi ,WAYNE,28,153,MS 
39325,Collinsville,Mississippi ,LAUDERDALE,28,075,MS 
39324,Clara,Mississippi ,WAYNE,28,153,MS 
39326,Daleville,Mississippi ,LAUDERDALE,28,075,MS 
39327,Decatur,Mississippi ,NEWTON,28,101,MS 
39328,De Kalb,Mississippi ,KEMPER,28,069,MS 
39330,Enterprise,Mississippi ,CLARKE,28,023,MS 
39332,Hickory,Mississippi ,NEWTON,28,101,MS 
39336,Lawrence,Mississippi ,NEWTON,28,101,MS 
39339,Louisville,Mississippi ,WINSTON,28,159,MS 
39337,Little Rock,Mississippi ,NEWTON,28,101,MS 
39338,Louin,Mississippi ,JASPER,28,061,MS 
39341,Macon,Mississippi ,NOXUBEE,28,103,MS 
39335,Lauderdale,Mississippi ,LAUDERDALE,28,075,MS 
39345,Newton,Mississippi ,NEWTON,28,101,MS 
39342,Marion,Mississippi ,LAUDERDALE,28,075,MS 
39352,Porterville,Mississippi ,KEMPER,28,069,MS 
39354,Preston,Mississippi ,KEMPER,28,069,MS 
39347,Pachuta,Mississippi ,CLARKE,28,023,MS 
39348,Paulding,Mississippi ,JASPER,28,061,MS 
39350,Philadelphia,Mississippi ,NESHOBA,28,099,MS 
39346,Noxapater,Mississippi ,WINSTON,28,159,MS 
39356,Rose Hill,Mississippi ,JASPER,28,061,MS 
39355,Quitman,Mississippi ,CLARKE,28,023,MS 
39358,Scooba,Mississippi ,KEMPER,28,069,MS 
39360,Shubuta,Mississippi ,CLARKE,28,023,MS 
39361,Shuqualak,Mississippi ,NOXUBEE,28,103,MS 
39364,Toomsuba,Mississippi ,LAUDERDALE,28,075,MS 
39365,Union,Mississippi ,NESHOBA,28,099,MS 
39359,Sebastopol,Mississippi ,SCOTT,28,123,MS 
39363,Stonewall,Mississippi ,CLARKE,28,023,MS 
39362,State Line,Mississippi ,GREENE,28,041,MS 
39367,Waynesboro,Mississippi ,WAYNE,28,153,MS 
39404,Hattiesburg,Mississippi ,FORREST,28,035,MS 
39366,Vossburg,Mississippi ,JASPER,28,061,MS 
39407,Hattiesburg,Mississippi ,FORREST,28,035,MS 
39403,Hattiesburg,Mississippi ,FORREST,28,035,MS 
39406,Hattiesburg,Mississippi ,FORREST,28,035,MS 
39401,Hattiesburg,Mississippi ,FORREST,28,035,MS 
39402,Hattiesburg,Mississippi ,FORREST,28,035,MS 
39421,Bassfield,Mississippi ,JEFFERSON DAVIS,28,065,MS 
39423,Beaumont,Mississippi ,PERRY,28,111,MS 
39429,Columbia,Mississippi ,MARION,28,091,MS 
39422,Bay Springs,Mississippi ,JASPER,28,061,MS 
39426,Carriere,Mississippi ,PEARL RIVER,28,109,MS 
39425,Brooklyn,Mississippi ,FORREST,28,035,MS 
39428,Collins,Mississippi ,COVINGTON,28,031,MS 
39427,Carson,Mississippi ,JEFFERSON DAVIS,28,065,MS 
39439,Heidelberg,Mississippi ,JASPER,28,061,MS 
39442,Laurel,Mississippi ,JONES,28,067,MS 
39440,Laurel,Mississippi ,JONES,28,067,MS 
39436,Eastabuchie,Mississippi ,JONES,28,067,MS 
39451,Leakesville,Mississippi ,GREENE,28,041,MS 
39441,Laurel,Mississippi ,JONES,28,067,MS 
39443,Laurel,Mississippi ,JONES,28,067,MS 
