73446,Madill,Oklahoma ,MARSHALL,40,095,OK 
73448,Marietta,Oklahoma ,LOVE,40,085,OK 
73444,Hennepin,Oklahoma ,CARTER,40,019,OK 
73447,Mannsville,Oklahoma ,JOHNSTON,40,069,OK 
73449,Mead,Oklahoma ,BRYAN,40,013,OK 
73450,Milburn,Oklahoma ,JOHNSTON,40,069,OK 
73453,Overbrook,Oklahoma ,LOVE,40,085,OK 
73455,Ravia,Oklahoma ,JOHNSTON,40,069,OK 
73456,Ringling,Oklahoma ,JEFFERSON,40,067,OK 
73458,Springer,Oklahoma ,CARTER,40,019,OK 
73487,Tatums,Oklahoma ,CARTER,40,019,OK 
73460,Tishomingo,Oklahoma ,JOHNSTON,40,069,OK 
73459,Thackerville,Oklahoma ,LOVE,40,085,OK 
73461,Wapanucka,Oklahoma ,JOHNSTON,40,069,OK 
73481,Ratliff City,Oklahoma ,CARTER,40,019,OK 
73463,Wilson,Oklahoma ,CARTER,40,019,OK 
73488,Tussy,Oklahoma ,CARTER,40,019,OK 
73491,Velma,Oklahoma ,STEPHENS,40,137,OK 
73501,Lawton,Oklahoma ,COMANCHE,40,031,OK 
73502,Lawton,Oklahoma ,COMANCHE,40,031,OK 
73505,Lawton,Oklahoma ,COMANCHE,40,031,OK 
73506,Lawton,Oklahoma ,COMANCHE,40,031,OK 
73507,Lawton,Oklahoma ,COMANCHE,40,031,OK 
73503,Fort Sill,Oklahoma ,COMANCHE,40,031,OK 
73520,Addington,Oklahoma ,JEFFERSON,40,067,OK 
73521,Altus,Oklahoma ,JACKSON,40,065,OK 
73526,Blair,Oklahoma ,JACKSON,40,065,OK 
73529,Comanche,Oklahoma ,STEPHENS,40,137,OK 
73523,Altus AFB,Oklahoma ,JACKSON,40,065,OK 
73527,Cache,Oklahoma ,COMANCHE,40,031,OK 
73530,Davidson,Oklahoma ,TILLMAN,40,141,OK 
73528,Chattanooga,Oklahoma ,COMANCHE,40,031,OK 
73522,Altus,Oklahoma ,JACKSON,40,065,OK 
73531,Devol,Oklahoma ,COTTON,40,033,OK 
73538,Elgin,Oklahoma ,COMANCHE,40,031,OK 
73532,Duke,Oklahoma ,JACKSON,40,065,OK 
73534,Duncan,Oklahoma ,STEPHENS,40,137,OK 
73536,Duncan,Oklahoma ,STEPHENS,40,137,OK 
73539,Elmer,Oklahoma ,JACKSON,40,065,OK 
73540,Faxon,Oklahoma ,COMANCHE,40,031,OK 
73533,Duncan,Oklahoma ,STEPHENS,40,137,OK 
73537,Eldorado,Oklahoma ,JACKSON,40,065,OK 
73541,Fletcher,Oklahoma ,COMANCHE,40,031,OK 
73543,Geronimo,Oklahoma ,COMANCHE,40,031,OK 
73549,Headrick,Oklahoma ,JACKSON,40,065,OK 
73547,Granite,Oklahoma ,GREER,40,055,OK 
73542,Frederick,Oklahoma ,TILLMAN,40,141,OK 
73546,Grandfield,Oklahoma ,TILLMAN,40,141,OK 
73544,Gould,Oklahoma ,HARMON,40,057,OK 
73548,Hastings,Oklahoma ,JEFFERSON,40,067,OK 
73555,Manitou,Oklahoma ,TILLMAN,40,141,OK 
73550,Hollis,Oklahoma ,HARMON,40,057,OK 
73553,Loveland,Oklahoma ,TILLMAN,40,141,OK 
73552,Indiahoma,Oklahoma ,COMANCHE,40,031,OK 
73556,Martha,Oklahoma ,JACKSON,40,065,OK 
73557,Medicine Park,Oklahoma ,COMANCHE,40,031,OK 
73554,Mangum,Oklahoma ,GREER,40,055,OK 
73551,Hollister,Oklahoma ,TILLMAN,40,141,OK 
73561,Oscar,Oklahoma ,JEFFERSON,40,067,OK 
73560,Olustee,Oklahoma ,JACKSON,40,065,OK 
73558,Meers,Oklahoma ,COMANCHE,40,031,OK 
73565,Ryan,Oklahoma ,JEFFERSON,40,067,OK 
73566,Snyder,Oklahoma ,KIOWA,40,075,OK 
73564,Roosevelt,Oklahoma ,KIOWA,40,075,OK 
73562,Randlett,Oklahoma ,COTTON,40,033,OK 
73559,Mountain Park,Oklahoma ,KIOWA,40,075,OK 
73567,Sterling,Oklahoma ,COMANCHE,40,031,OK 
