46784,Rome City,Indiana ,NOBLE,18,113,IN 
46785,Saint Joe,Indiana ,DEKALB,18,033,IN 
46786,South Milford,Indiana ,LAGRANGE,18,087,IN 
46788,Spencerville,Indiana ,ALLEN,18,003,IN 
46787,South Whitley,Indiana ,WHITLEY,18,183,IN 
46791,Uniondale,Indiana ,WELLS,18,179,IN 
46789,Stroh,Indiana ,LAGRANGE,18,087,IN 
46797,Woodburn,Indiana ,ALLEN,18,003,IN 
46792,Warren,Indiana ,HUNTINGTON,18,069,IN 
46795,Wolcottville,Indiana ,LAGRANGE,18,087,IN 
46798,Yoder,Indiana ,ALLEN,18,003,IN 
46794,Wawaka,Indiana ,NOBLE,18,113,IN 
46793,Waterloo,Indiana ,DEKALB,18,033,IN 
46796,Wolflake,Indiana ,NOBLE,18,113,IN 
46801,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46805,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46799,Zanesville,Indiana ,ALLEN,18,003,IN 
46803,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46804,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46802,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46806,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46807,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46808,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46818,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46814,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46815,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46809,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46816,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46614,South Bend,Indiana ,ST JOSEPH,18,141,IN 
46850,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46819,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46852,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46851,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46825,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46835,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46853,Fort Wayne,Indiana ,ALLEN,18,003,IN 
