11040,New Hyde Park,New York ,NASSAU,36,059,NY 
11042,New Hyde Park,New York ,NASSAU,36,059,NY 
11050,Port Washington,New York ,NASSAU,36,059,NY 
11051,Port Washington,New York ,NASSAU,36,059,NY 
11053,Port Washington,New York ,NASSAU,36,059,NY 
11054,Port Washington,New York ,NASSAU,36,059,NY 
11055,Port Washington,New York ,NASSAU,36,059,NY 
11096,Inwood,New York ,NASSAU,36,059,NY 
11052,Port Washington,New York ,NASSAU,36,059,NY 
11103,Astoria,New York ,QUEENS,36,081,NY 
11101,Long Island City,New York ,QUEENS,36,081,NY 
11102,Astoria,New York ,QUEENS,36,081,NY 
11120,Long Island City,New York ,QUEENS,36,081,NY 
11104,Sunnyside,New York ,QUEENS,36,081,NY 
11105,Astoria,New York ,QUEENS,36,081,NY 
11106,Astoria,New York ,QUEENS,36,081,NY 
11109,Long Island City,New York ,QUEENS,36,081,NY 
11201,Brooklyn,New York ,KINGS,36,047,NY 
11202,Brooklyn,New York ,KINGS,36,047,NY 
11203,Brooklyn,New York ,KINGS,36,047,NY 
11204,Brooklyn,New York ,KINGS,36,047,NY 
11205,Brooklyn,New York ,KINGS,36,047,NY 
11206,Brooklyn,New York ,KINGS,36,047,NY 
11208,Brooklyn,New York ,KINGS,36,047,NY 
11207,Brooklyn,New York ,KINGS,36,047,NY 
11210,Brooklyn,New York ,KINGS,36,047,NY 
11211,Brooklyn,New York ,KINGS,36,047,NY 
11209,Brooklyn,New York ,KINGS,36,047,NY 
11212,Brooklyn,New York ,KINGS,36,047,NY 
11213,Brooklyn,New York ,KINGS,36,047,NY 
11215,Brooklyn,New York ,KINGS,36,047,NY 
11214,Brooklyn,New York ,KINGS,36,047,NY 
11218,Brooklyn,New York ,KINGS,36,047,NY 
11219,Brooklyn,New York ,KINGS,36,047,NY 
11216,Brooklyn,New York ,KINGS,36,047,NY 
11217,Brooklyn,New York ,KINGS,36,047,NY 
11220,Brooklyn,New York ,KINGS,36,047,NY 
11222,Brooklyn,New York ,KINGS,36,047,NY 
11221,Brooklyn,New York ,KINGS,36,047,NY 
11226,Brooklyn,New York ,KINGS,36,047,NY 
11224,Brooklyn,New York ,KINGS,36,047,NY 
11228,Brooklyn,New York ,KINGS,36,047,NY 
11223,Brooklyn,New York ,KINGS,36,047,NY 
11229,Brooklyn,New York ,KINGS,36,047,NY 
11225,Brooklyn,New York ,KINGS,36,047,NY 
11231,Brooklyn,New York ,KINGS,36,047,NY 
11230,Brooklyn,New York ,KINGS,36,047,NY 
11232,Brooklyn,New York ,KINGS,36,047,NY 
11236,Brooklyn,New York ,KINGS,36,047,NY 
11233,Brooklyn,New York ,KINGS,36,047,NY 
11235,Brooklyn,New York ,KINGS,36,047,NY 
11234,Brooklyn,New York ,KINGS,36,047,NY 
11237,Brooklyn,New York ,KINGS,36,047,NY 
11239,Brooklyn,New York ,KINGS,36,047,NY 
11238,Brooklyn,New York ,KINGS,36,047,NY 
11245,Brooklyn,New York ,KINGS,36,047,NY 
11241,Brooklyn,New York ,KINGS,36,047,NY 
11247,Brooklyn,New York ,KINGS,36,047,NY 
11242,Brooklyn,New York ,KINGS,36,047,NY 
11249,Brooklyn,New York ,KINGS,36,047,NY 
11243,Brooklyn,New York ,KINGS,36,047,NY 
11251,Brooklyn,New York ,KINGS,36,047,NY 
11252,Brooklyn,New York ,KINGS,36,047,NY 
11256,Brooklyn,New York ,KINGS,36,047,NY 
11351,Flushing,New York ,QUEENS,36,081,NY 
11357,Whitestone,New York ,QUEENS,36,081,NY 
11352,Flushing,New York ,QUEENS,36,081,NY 
11355,Flushing,New York ,QUEENS,36,081,NY 
11356,College Point,New York ,QUEENS,36,081,NY 
11354,Flushing,New York ,QUEENS,36,081,NY 
11358,Flushing,New York ,QUEENS,36,081,NY 
11359,Bayside,New York ,QUEENS,36,081,NY 
11360,Bayside,New York ,QUEENS,36,081,NY 
11364,Oakland Gardens,New York ,QUEENS,36,081,NY 
11363,Little Neck,New York ,QUEENS,36,081,NY 
11361,Bayside,New York ,QUEENS,36,081,NY 
11365,Fresh Meadows,New York ,QUEENS,36,081,NY 
11362,Little Neck,New York ,QUEENS,36,081,NY 
11366,Fresh Meadows,New York ,QUEENS,36,081,NY 
11367,Flushing,New York ,QUEENS,36,081,NY 
11368,Corona,New York ,QUEENS,36,081,NY 
11374,Rego Park,New York ,QUEENS,36,081,NY 
11372,Jackson Heights,New York ,QUEENS,36,081,NY 
11373,Elmhurst,New York ,QUEENS,36,081,NY 
11369,East Elmhurst,New York ,QUEENS,36,081,NY 
11371,Flushing,New York ,QUEENS,36,081,NY 
11370,East Elmhurst,New York ,QUEENS,36,081,NY 
11375,Forest Hills,New York ,QUEENS,36,081,NY 
11377,Woodside,New York ,QUEENS,36,081,NY 
11386,Ridgewood,New York ,QUEENS,36,081,NY 
11379,Middle Village,New York ,QUEENS,36,081,NY 
11380,Elmhurst,New York ,QUEENS,36,081,NY 
11381,Flushing,New York ,QUEENS,36,081,NY 
11378,Maspeth,New York ,QUEENS,36,081,NY 
11385,Ridgewood,New York ,QUEENS,36,081,NY 
11405,Jamaica,New York ,QUEENS,36,081,NY 
11411,Cambria Heights,New York ,QUEENS,36,081,NY 
11414,Howard Beach,New York ,QUEENS,36,081,NY 
11416,Ozone Park,New York ,QUEENS,36,081,NY 
11412,Saint Albans,New York ,QUEENS,36,081,NY 
11417,Ozone Park,New York ,QUEENS,36,081,NY 
11413,Springfield Gardens,New York ,QUEENS,36,081,NY 
11419,South Richmond Hill,New York ,QUEENS,36,081,NY 
11418,Richmond Hill,New York ,QUEENS,36,081,NY 
11415,Kew Gardens,New York ,QUEENS,36,081,NY 
11421,Woodhaven,New York ,QUEENS,36,081,NY 
11423,Hollis,New York ,QUEENS,36,081,NY 
11420,South Ozone Park,New York ,QUEENS,36,081,NY 
11426,Bellerose,New York ,QUEENS,36,081,NY 
11427,Queens Village,New York ,QUEENS,36,081,NY 
11424,Jamaica,New York ,QUEENS,36,081,NY 
11422,Rosedale,New York ,QUEENS,36,081,NY 
11425,Jamaica,New York ,QUEENS,36,081,NY 
11428,Queens Village,New York ,QUEENS,36,081,NY 
11431,Jamaica,New York ,QUEENS,36,081,NY 
11434,Jamaica,New York ,QUEENS,36,081,NY 
11435,Jamaica,New York ,QUEENS,36,081,NY 
11432,Jamaica,New York ,QUEENS,36,081,NY 
11430,Jamaica,New York ,QUEENS,36,081,NY 
11429,Queens Village,New York ,QUEENS,36,081,NY 
11433,Jamaica,New York ,QUEENS,36,081,NY 
11436,Jamaica,New York ,QUEENS,36,081,NY 
11437,Jamaica,New York ,QUEENS,36,081,NY 
11499,Jamaica,New York ,QUEENS,36,081,NY 
11451,Jamaica,New York ,QUEENS,36,081,NY 
11509,Atlantic Beach,New York ,NASSAU,36,059,NY 
