21222,Dundalk,Maryland ,BALTIMORE,24,005,MD 
21221,Essex,Maryland ,BALTIMORE,24,005,MD 
21223,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21227,Halethorpe,Maryland ,BALTIMORE,24,005,MD 
21225,Brooklyn,Maryland ,BALTIMORE CITY,24,510,MD 
21228,Catonsville,Maryland ,BALTIMORE,24,005,MD 
21226,Curtis Bay,Maryland ,ANNE ARUNDEL,24,003,MD 
21229,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21230,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21235,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21233,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21231,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21236,Nottingham,Maryland ,BALTIMORE,24,005,MD 
21237,Rosedale,Maryland ,BALTIMORE,24,005,MD 
21234,Parkville,Maryland ,BALTIMORE,24,005,MD 
21239,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21252,Towson,Maryland ,BALTIMORE,24,005,MD 
21241,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21240,Baltimore,Maryland ,ANNE ARUNDEL,24,003,MD 
21251,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21263,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21250,Baltimore,Maryland ,BALTIMORE,24,005,MD 
21244,Windsor Mill,Maryland ,BALTIMORE,24,005,MD 
21264,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21273,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21281,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21270,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21278,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21282,Pikesville,Maryland ,BALTIMORE,24,005,MD 
21279,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21275,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21284,Towson,Maryland ,BALTIMORE,24,005,MD 
21285,Towson,Maryland ,BALTIMORE,24,005,MD 
21286,Towson,Maryland ,BALTIMORE,24,005,MD 
21289,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21297,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21298,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21287,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21290,Baltimore,Maryland ,BALTIMORE CITY,24,510,MD 
21401,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21403,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21402,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21405,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21501,Cumberland,Maryland ,ALLEGANY,24,001,MD 
21409,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21411,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21412,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21502,Cumberland,Maryland ,ALLEGANY,24,001,MD 
21404,Annapolis,Maryland ,ANNE ARUNDEL,24,003,MD 
21503,Cumberland,Maryland ,ALLEGANY,24,001,MD 
21504,Cumberland,Maryland ,ALLEGANY,24,001,MD 
21522,Bittinger,Maryland ,GARRETT,24,023,MD 
21528,Eckhart Mines,Maryland ,ALLEGANY,24,001,MD 
21524,Corriganville,Maryland ,ALLEGANY,24,001,MD 
21523,Bloomington,Maryland ,GARRETT,24,023,MD 
21520,Accident,Maryland ,GARRETT,24,023,MD 
21505,Cumberland,Maryland ,ALLEGANY,24,001,MD 
21521,Barton,Maryland ,ALLEGANY,24,001,MD 
21531,Friendsville,Maryland ,GARRETT,24,023,MD 
21530,Flintstone,Maryland ,ALLEGANY,24,001,MD 
21539,Lonaconing,Maryland ,ALLEGANY,24,001,MD 
21532,Frostburg,Maryland ,ALLEGANY,24,001,MD 
21536,Grantsville,Maryland ,GARRETT,24,023,MD 
21540,Luke,Maryland ,ALLEGANY,24,001,MD 
21538,Kitzmiller,Maryland ,GARRETT,24,023,MD 
21529,Ellerslie,Maryland ,ALLEGANY,24,001,MD 
21541,Mc Henry,Maryland ,GARRETT,24,023,MD 
21545,Mount Savage,Maryland ,ALLEGANY,24,001,MD 
21557,Rawlings,Maryland ,ALLEGANY,24,001,MD 
21542,Midland,Maryland ,ALLEGANY,24,001,MD 
21543,Midlothian,Maryland ,ALLEGANY,24,001,MD 
21550,Oakland,Maryland ,GARRETT,24,023,MD 
21555,Oldtown,Maryland ,ALLEGANY,24,001,MD 
21556,Pinto,Maryland ,ALLEGANY,24,001,MD 
21560,Spring Gap,Maryland ,ALLEGANY,24,001,MD 
21607,Barclay,Maryland ,QUEEN ANNES,24,035,MD 
21601,Easton,Maryland ,TALBOT,24,041,MD 
21562,Westernport,Maryland ,ALLEGANY,24,001,MD 
21609,Bethlehem,Maryland ,CAROLINE,24,011,MD 
21561,Swanton,Maryland ,GARRETT,24,023,MD 
21612,Bozman,Maryland ,TALBOT,24,041,MD 
21610,Betterton,Maryland ,KENT,24,029,MD 
21617,Centreville,Maryland ,QUEEN ANNES,24,035,MD 
21613,Cambridge,Maryland ,DORCHESTER,24,019,MD 
21622,Church Creek,Maryland ,DORCHESTER,24,019,MD 
21619,Chester,Maryland ,QUEEN ANNES,24,035,MD 
21625,Cordova,Maryland ,TALBOT,24,041,MD 
21620,Chestertown,Maryland ,KENT,24,029,MD 
21623,Church Hill,Maryland ,QUEEN ANNES,24,035,MD 
21624,Claiborne,Maryland ,TALBOT,24,041,MD 
21627,Crocheron,Maryland ,DORCHESTER,24,019,MD 
21632,Federalsburg,Maryland ,CAROLINE,24,011,MD 
21626,Crapo,Maryland ,DORCHESTER,24,019,MD 
21629,Denton,Maryland ,CAROLINE,24,011,MD 
21635,Galena,Maryland ,KENT,24,029,MD 
21634,Fishing Creek,Maryland ,DORCHESTER,24,019,MD 
21631,East New Market,Maryland ,DORCHESTER,24,019,MD 
21628,Crumpton,Maryland ,QUEEN ANNES,24,035,MD 
21639,Greensboro,Maryland ,CAROLINE,24,011,MD 
