66901,Concordia,Kansas ,CLOUD,20,029,KS 
66873,Wilsey,Kansas ,MORRIS,20,127,KS 
66930,Agenda,Kansas ,REPUBLIC,20,157,KS 
66932,Athol,Kansas ,SMITH,20,183,KS 
66933,Barnes,Kansas ,WASHINGTON,20,201,KS 
66935,Belleville,Kansas ,REPUBLIC,20,157,KS 
66936,Burr Oak,Kansas ,JEWELL,20,089,KS 
66937,Clifton,Kansas ,WASHINGTON,20,201,KS 
66939,Courtland,Kansas ,REPUBLIC,20,157,KS 
66938,Clyde,Kansas ,CLOUD,20,029,KS 
66942,Formoso,Kansas ,JEWELL,20,089,KS 
66940,Cuba,Kansas ,REPUBLIC,20,157,KS 
66941,Esbon,Kansas ,JEWELL,20,089,KS 
66943,Greenleaf,Kansas ,WASHINGTON,20,201,KS 
66944,Haddam,Kansas ,WASHINGTON,20,201,KS 
66945,Hanover,Kansas ,WASHINGTON,20,201,KS 
66948,Jamestown,Kansas ,CLOUD,20,029,KS 
66946,Hollenberg,Kansas ,WASHINGTON,20,201,KS 
66949,Jewell,Kansas ,JEWELL,20,089,KS 
66951,Kensington,Kansas ,SMITH,20,183,KS 
66952,Lebanon,Kansas ,SMITH,20,183,KS 
66955,Mahaska,Kansas ,WASHINGTON,20,201,KS 
66953,Linn,Kansas ,WASHINGTON,20,201,KS 
66956,Mankato,Kansas ,JEWELL,20,089,KS 
66958,Morrowville,Kansas ,WASHINGTON,20,201,KS 
66959,Munden,Kansas ,REPUBLIC,20,157,KS 
66962,Palmer,Kansas ,WASHINGTON,20,201,KS 
66964,Republic,Kansas ,REPUBLIC,20,157,KS 
66960,Narka,Kansas ,REPUBLIC,20,157,KS 
66961,Norway,Kansas ,REPUBLIC,20,157,KS 
66966,Scandia,Kansas ,REPUBLIC,20,157,KS 
66963,Randall,Kansas ,JEWELL,20,089,KS 
66967,Smith Center,Kansas ,SMITH,20,183,KS 
66968,Washington,Kansas ,WASHINGTON,20,201,KS 
66970,Webber,Kansas ,JEWELL,20,089,KS 
67002,Andover,Kansas ,BUTLER,20,015,KS 
67004,Argonia,Kansas ,SUMNER,20,191,KS 
67005,Arkansas City,Kansas ,COWLEY,20,035,KS 
67001,Andale,Kansas ,SEDGWICK,20,173,KS 
67008,Atlanta,Kansas ,COWLEY,20,035,KS 
67009,Attica,Kansas ,HARPER,20,077,KS 
67003,Anthony,Kansas ,HARPER,20,077,KS 
67017,Benton,Kansas ,BUTLER,20,015,KS 
67012,Beaumont,Kansas ,BUTLER,20,015,KS 
67010,Augusta,Kansas ,BUTLER,20,015,KS 
67013,Belle Plaine,Kansas ,SUMNER,20,191,KS 
67016,Bentley,Kansas ,SEDGWICK,20,173,KS 
67018,Bluff City,Kansas ,HARPER,20,077,KS 
67019,Burden,Kansas ,COWLEY,20,035,KS 
67020,Burrton,Kansas ,HARVEY,20,079,KS 
67022,Caldwell,Kansas ,SUMNER,20,191,KS 
67021,Byers,Kansas ,PRATT,20,151,KS 
67026,Clearwater,Kansas ,SEDGWICK,20,173,KS 
67024,Cedar Vale,Kansas ,CHAUTAUQUA,20,019,KS 
67023,Cambridge,Kansas ,COWLEY,20,035,KS 
67025,Cheney,Kansas ,SEDGWICK,20,173,KS 
67028,Coats,Kansas ,PRATT,20,151,KS 
67029,Coldwater,Kansas ,COMANCHE,20,033,KS 
67030,Colwich,Kansas ,SEDGWICK,20,173,KS 
67031,Conway Springs,Kansas ,SUMNER,20,191,KS 
67036,Danville,Kansas ,HARPER,20,077,KS 
67037,Derby,Kansas ,SEDGWICK,20,173,KS 
67035,Cunningham,Kansas ,KINGMAN,20,095,KS 
67038,Dexter,Kansas ,COWLEY,20,035,KS 
67042,El Dorado,Kansas ,BUTLER,20,015,KS 
67039,Douglass,Kansas ,BUTLER,20,015,KS 
67041,Elbing,Kansas ,BUTLER,20,015,KS 
67045,Eureka,Kansas ,GREENWOOD,20,073,KS 
67051,Geuda Springs,Kansas ,SUMNER,20,191,KS 
67049,Freeport,Kansas ,HARPER,20,077,KS 
67050,Garden Plain,Kansas ,SEDGWICK,20,173,KS 
67047,Fall River,Kansas ,GREENWOOD,20,073,KS 
67052,Goddard,Kansas ,SEDGWICK,20,173,KS 
67054,Greensburg,Kansas ,KIOWA,20,097,KS 
67053,Goessel,Kansas ,MARION,20,115,KS 
67056,Halstead,Kansas ,HARVEY,20,079,KS 
67055,Greenwich,Kansas ,SEDGWICK,20,173,KS 
67057,Hardtner,Kansas ,BARBER,20,007,KS 
67058,Harper,Kansas ,HARPER,20,077,KS 
67060,Haysville,Kansas ,SEDGWICK,20,173,KS 
67059,Haviland,Kansas ,KIOWA,20,097,KS 
67061,Hazelton,Kansas ,BARBER,20,007,KS 
67062,Hesston,Kansas ,HARVEY,20,079,KS 
67071,Lake City,Kansas ,BARBER,20,007,KS 
67063,Hillsboro,Kansas ,MARION,20,115,KS 
67066,Iuka,Kansas ,PRATT,20,151,KS 
67065,Isabel,Kansas ,BARBER,20,007,KS 
67072,Latham,Kansas ,BUTLER,20,015,KS 
