99710,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99704,Clear,Alaska ,DENALI,02,068,AK 
99708,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99709,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99707,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99711,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99712,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99714,Salcha,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99721,Anaktuvuk Pass,Alaska ,NORTH SLOPE,02,185,AK 
99722,Arctic Village,Alaska ,YUKON KOYUKUK,02,290,AK 
99716,Two Rivers,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99723,Barrow,Alaska ,NORTH SLOPE,02,185,AK 
99720,Allakaket,Alaska ,YUKON KOYUKUK,02,290,AK 
99724,Beaver,Alaska ,YUKON KOYUKUK,02,290,AK 
99725,Ester,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99726,Bettles Field,Alaska ,YUKON KOYUKUK,02,290,AK 
99727,Buckland,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99729,Cantwell,Alaska ,DENALI,02,068,AK 
99731,Fort Greely,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99733,Circle,Alaska ,YUKON KOYUKUK,02,290,AK 
99730,Central,Alaska ,YUKON KOYUKUK,02,290,AK 
99732,Chicken,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99734,Prudhoe Bay,Alaska ,NORTH SLOPE,02,185,AK 
99736,Deering,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99737,Delta Junction,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99741,Galena,Alaska ,YUKON KOYUKUK,02,290,AK 
99743,Healy,Alaska ,DENALI,02,068,AK 
